timestamp,source,type,title/text,sentiment,unemployment_rate,cpi,sp500,url,publishedAt
2024-01-01 00:00:00,CNBC,news,Federal Reserve signals possible interest rate cut next quarter,-0.51,3.92,257.17,4462.87,https://example.com/article/0,2024-01-01T00:00:00Z
2024-01-01 00:30:00,Financial Times,news,Crypto market sees renewed volatility,-0.936,3.78,266.29,4282.62,https://example.com/article/1,2024-01-01T00:30:00Z
2024-01-01 01:00:00,Financial Times,news,Central bank warns of inflation risks,-0.559,5.27,306.66,3508.45,https://example.com/article/2,2024-01-01T01:00:00Z
2024-01-01 01:30:00,CNBC,news,Consumer confidence hits record high,-0.444,4.15,303.44,3632.87,https://example.com/article/3,2024-01-01T01:30:00Z
2024-01-01 02:00:00,Twitter,twitter,Not sure if the Fed cutting rates is good long term 🤔,-0.282,4.53,268.52,3556.49,https://example.com/article/4,2024-01-01T02:00:00Z
2024-01-01 02:30:00,Twitter,twitter,Gold going up means fear is back.,-0.75,6.27,255.52,3881.13,https://example.com/article/5,2024-01-01T02:30:00Z
2024-01-01 03:00:00,Twitter,twitter,CPI numbers tomorrow. Brace yourselves.,-0.615,3.71,296.29,4504.99,https://example.com/article/6,2024-01-01T03:00:00Z
2024-01-01 03:30:00,Bloomberg,news,Gold surges as investors seek safe haven assets,-0.24,4.86,308.39,3711.45,https://example.com/article/7,2024-01-01T03:30:00Z
2024-01-01 04:00:00,Twitter,twitter,Feeling nervous about this volatility in crypto 😬,0.34,5.61,297.85,3592.82,https://example.com/article/8,2024-01-01T04:00:00Z
2024-01-01 04:30:00,Reuters,news,Central bank warns of inflation risks,-0.673,4.64,319.27,4332.0,https://example.com/article/9,2024-01-01T04:30:00Z
2024-01-01 05:00:00,Bloomberg,news,Unemployment rate drops to lowest level in a decade,-0.542,3.6,272.08,3848.06,https://example.com/article/10,2024-01-01T05:00:00Z
2024-01-01 05:30:00,CNBC,news,Crypto market sees renewed volatility,-0.575,5.0,311.93,4335.71,https://example.com/article/11,2024-01-01T05:30:00Z
2024-01-01 06:00:00,Reuters,news,US housing market shows signs of cooling down,-0.507,5.18,268.39,4259.96,https://example.com/article/12,2024-01-01T06:00:00Z
2024-01-01 06:30:00,Twitter,twitter,"Unemployment down, but inflation is still high...",-0.561,6.49,285.67,3618.18,https://example.com/article/13,2024-01-01T06:30:00Z
2024-01-01 07:00:00,Reuters,news,Stock markets rally as tech giants post strong earnings,0.255,5.88,279.55,3582.59,https://example.com/article/14,2024-01-01T07:00:00Z
2024-01-01 07:30:00,Twitter,twitter,CPI numbers tomorrow. Brace yourselves.,0.992,5.09,317.98,4619.01,https://example.com/article/15,2024-01-01T07:30:00Z
2024-01-01 08:00:00,MarketWatch,news,Stock markets rally as tech giants post strong earnings,0.502,5.81,273.81,3881.55,https://example.com/article/16,2024-01-01T08:00:00Z
2024-01-01 08:30:00,Bloomberg,news,Global supply chain disruptions continue to weigh on markets,0.908,6.13,268.44,4150.76,https://example.com/article/17,2024-01-01T08:30:00Z
2024-01-01 09:00:00,Bloomberg,news,Central bank warns of inflation risks,0.741,4.4,294.73,4291.66,https://example.com/article/18,2024-01-01T09:00:00Z
2024-01-01 09:30:00,Reuters,news,Unemployment rate drops to lowest level in a decade,0.079,5.84,287.12,3500.74,https://example.com/article/19,2024-01-01T09:30:00Z
2024-01-01 10:00:00,Twitter,twitter,Tech earnings smashing expectations!,-0.961,6.29,311.51,4581.17,https://example.com/article/20,2024-01-01T10:00:00Z
2024-01-01 10:30:00,Twitter,twitter,Feeling nervous about this volatility in crypto 😬,-0.884,6.13,316.29,3611.35,https://example.com/article/21,2024-01-01T10:30:00Z
2024-01-01 11:00:00,Twitter,twitter,Not sure if the Fed cutting rates is good long term 🤔,0.956,5.1,258.8,4357.68,https://example.com/article/22,2024-01-01T11:00:00Z
2024-01-01 11:30:00,MarketWatch,news,US housing market shows signs of cooling down,0.745,4.77,264.83,4201.08,https://example.com/article/23,2024-01-01T11:30:00Z
2024-01-01 12:00:00,Financial Times,news,US housing market shows signs of cooling down,0.99,5.45,280.67,4172.85,https://example.com/article/24,2024-01-01T12:00:00Z
2024-01-01 12:30:00,Reuters,news,Gold surges as investors seek safe haven assets,-0.872,3.56,288.77,4264.97,https://example.com/article/25,2024-01-01T12:30:00Z
2024-01-01 13:00:00,Bloomberg,news,Stock markets rally as tech giants post strong earnings,-0.542,6.22,310.17,3592.11,https://example.com/article/26,2024-01-01T13:00:00Z
2024-01-01 13:30:00,Financial Times,news,US housing market shows signs of cooling down,-0.572,3.9,315.49,4242.36,https://example.com/article/27,2024-01-01T13:30:00Z
2024-01-01 14:00:00,Twitter,twitter,Feeling nervous about this volatility in crypto 😬,0.569,5.92,263.33,3626.01,https://example.com/article/28,2024-01-01T14:00:00Z
2024-01-01 14:30:00,Twitter,twitter,"Unemployment down, but inflation is still high...",-0.153,4.9,301.04,4375.37,https://example.com/article/29,2024-01-01T14:30:00Z
2024-01-01 15:00:00,Financial Times,news,Federal Reserve signals possible interest rate cut next quarter,0.456,5.9,257.65,3749.07,https://example.com/article/30,2024-01-01T15:00:00Z
2024-01-01 15:30:00,Twitter,twitter,Oil prices are climbing again. Expect higher gas prices soon.,-0.156,4.34,267.49,4700.25,https://example.com/article/31,2024-01-01T15:30:00Z
2024-01-01 16:00:00,Twitter,twitter,Gold going up means fear is back.,-0.804,5.46,287.84,3519.19,https://example.com/article/32,2024-01-01T16:00:00Z
2024-01-01 16:30:00,Reuters,news,Gold surges as investors seek safe haven assets,-0.187,4.94,310.53,4673.18,https://example.com/article/33,2024-01-01T16:30:00Z
2024-01-01 17:00:00,Bloomberg,news,Consumer confidence hits record high,0.971,4.3,304.88,4091.51,https://example.com/article/34,2024-01-01T17:00:00Z
2024-01-01 17:30:00,Twitter,twitter,Gold going up means fear is back.,0.324,4.96,263.29,3783.01,https://example.com/article/35,2024-01-01T17:30:00Z
2024-01-01 18:00:00,MarketWatch,news,Crypto market sees renewed volatility,-0.878,4.44,253.51,4119.83,https://example.com/article/36,2024-01-01T18:00:00Z
2024-01-01 18:30:00,MarketWatch,news,Federal Reserve signals possible interest rate cut next quarter,-0.84,4.06,291.65,4377.78,https://example.com/article/37,2024-01-01T18:30:00Z
2024-01-01 19:00:00,Bloomberg,news,Consumer confidence hits record high,0.883,5.21,290.52,3551.66,https://example.com/article/38,2024-01-01T19:00:00Z
2024-01-01 19:30:00,MarketWatch,news,Consumer confidence hits record high,0.13,4.45,268.25,4370.64,https://example.com/article/39,2024-01-01T19:30:00Z
2024-01-01 20:00:00,Twitter,twitter,Feeling nervous about this volatility in crypto 😬,-0.469,3.89,295.19,4094.39,https://example.com/article/40,2024-01-01T20:00:00Z
2024-01-01 20:30:00,Financial Times,news,Federal Reserve signals possible interest rate cut next quarter,0.242,5.19,257.0,4198.92,https://example.com/article/41,2024-01-01T20:30:00Z
